TransactionID,Bread,Milk,Butter,Eggs,Cheese,Coffee,Tea,Sugar,Juice,Yogurt
1,1,1,0,1,0,1,0,1,0,0
2,1,0,1,1,0,0,1,0,1,0
3,0,1,1,0,1,1,0,1,0,1
4,1,1,0,0,0,1,0,0,1,0
5,0,1,0,1,1,0,1,1,0,1
6,1,0,1,0,0,1,0,1,0,0
7,1,1,1,1,0,0,0,0,1,0
8,0,1,0,0,1,1,1,1,0,1
9,1,0,0,1,0,1,0,0,1,0
10,0,1,1,0,1,0,1,1,0,1
11,1,1,0,1,0,1,0,1,0,0
12,1,0,1,0,1,1,0,0,1,0
13,0,1,0,1,0,0,1,0,1,1
14,1,1,1,0,0,1,0,1,0,0
15,0,0,1,1,1,1,0,1,0,1
16,1,1,0,0,1,0,1,0,1,0
17,1,0,1,1,0,1,0,0,0,1
18,0,1,1,0,1,1,1,1,0,0
19,1,1,0,1,0,0,1,1,0,0
20,0,0,1,0,1,1,0,1,1,1
21,1,1,1,0,0,1,0,0,1,0
22,0,1,0,1,1,1,1,0,0,1
23,1,0,1,1,0,0,1,1,0,0
24,1,1,0,0,1,1,0,1,0,0
25,0,1,1,1,0,1,0,0,1,1
26,1,1,0,0,0,0,1,1,1,0
27,0,0,1,1,1,1,1,0,0,1
28,1,1,1,1,0,1,0,1,0,0
29,0,1,0,0,1,0,1,1,1,1
30,1,0,1,0,0,1,1,0,1,0
31,1,1,0,1,1,1,0,0,0,1
32,0,1,1,0,1,1,0,1,0,0
33,1,0,0,1,0,1,1,1,0,0
34,1,1,1,0,0,0,0,1,1,0
35,0,1,0,1,1,1,1,0,0,1
36,1,0,1,1,0,1,0,1,0,0
37,0,1,1,0,1,0,1,0,1,1
38,1,1,0,0,0,1,0,0,1,1
39,0,1,0,1,1,1,0,1,0,0
40,1,0,1,0,0,0,1,1,1,0
41,1,1,1,1,1,1,0,0,0,0
42,0,1,0,0,1,1,1,1,0,1
43,1,0,1,1,0,1,0,0,1,0
44,0,1,1,0,1,0,0,1,1,1
45,1,1,0,1,0,1,1,0,0,0
46,0,0,1,0,1,1,0,1,0,1
47,1,1,1,0,0,0,1,0,1,0
48,0,1,0,1,1,1,0,1,0,0
49,1,0,0,1,0,0,1,1,1,1
50,1,1,1,0,1,1,0,0,0,1
